vrijeme;drzava;natjecanje;domacin;gost;rezultat;kvota_1;kvota_X;kvota_2
00:00;Bolivia;Torneo Amistoso de Verano;Bolivar;The Strongest;1-0;1.29;5.32;8.47
00:00;Brazil;Catarinense;Figueirense;Joinville;1-0;1.53;3.52;6.54
00:00;Brazil;Mineiro;Betim;Itabirito;0-2;2.26;3.10;3.10
00:00;Chile;Liga de Primera;A. Italiano;U. De Concepcion;3-0;2.21;3.20;3.27
00:20;Colombia;Primera A;Dep. Pasto;Bucaramanga;0-0;3.46;2.85;2.29
00:30;Brazil;Gaucho;SER Caxias;Ypiranga FC;0-2;1.88;3.01;4.50
00:30;Paraguay;Copa de Primera;Sp. Luqueno;Ameliano;0-1;2.26;3.06;3.21
00:30;Venezuela;Liga FUTVE;Anzoategui FC;Rayo Zuliano;1-3;1.62;3.62;5.26
00:45;Mexico;Liga MX U21;Club Tijuana U21;Puebla U21;1-2;1.95;3.34;3.52
01:00;Argentina;Liga Profesional;Central Cordoba;Union de Santa Fe;1-0;3.37;2.85;2.40
01:00;Trinidad and Tobago;TT Premier League;La Horquetta;Central FC;;6.08;4.92;1.36
01:30;Uruguay;Liga AUF Uruguaya;Wanderers;Defensor Sp.;1-1;3.00;3.00;2.44
02:00;Guatemala;Liga Nacional;Malacateco;Municipal;1-3;2.51;2.92;2.82
02:00;Honduras;Liga Nacional;Juticalpa;Genesis;1-1;2.31;3.49;2.62
02:00;Mexico;Liga de Expansion MX;Tepatitlan de Morelos;Correcaminos;2-1;1.36;4.69;7.56
02:00;Mexico;Liga de Expansion MX;Venados;Alebrijes Oaxaca;3-3;1.69;3.96;4.21
02:00;Mexico;Liga MX;Tigres UANL;Santos Laguna;5-1;1.26;5.96;9.36
02:00;Mexico;Liga MX;Necaxa;Atl. San Luis;4-1;2.48;3.29;2.80
02:00;Mexico;Liga Premier Serie A;Canoneros;Montaneses;0-0;4.65;4.84;1.46
02:06;Mexico;Liga MX Women;Pachuca W;Mazatlan FC W;3-0;1.02;13.90;36.09
02:30;Australia & Oceania;OFC Pro League;Auckland FC 2;Solomon Kings;1-3;1.36;4.31;8.67
02:30;Colombia;Primera A;Ind. Medellin;Inter Bogotá;1-2;1.53;3.83;6.23
02:30;Panama;LPF;San Francisco;Independiente;0-3;2.77;3.02;2.51
03:00;Costa Rica;Primera Division;Liberia;Puntarenas FC;1-4;1.98;3.13;3.95
03:00;Mexico;Liga MX Women;Monterrey W;Club Tijuana W;2-0;1.37;4.90;6.48
03:15;World;Club Friendly;Adelaide Croatia Raiders (Aus);NE Metrostars (Aus);0-2;10.97;6.31;1.17
04:00;Mexico;Liga de Expansion MX;Zacatecas Mineros;Atl. Morelia;1-1;1.97;3.49;3.49
04:06;Mexico;Liga MX;Club Tijuana;Puebla;0-0;1.68;3.96;4.66
04:06;Mexico;Liga MX;Mazatlan FC;Guadalajara Chivas;1-2;7.35;4.68;1.40
05:00;Australia;A-League;Auckland FC;Sydney FC;1-0;1.82;3.78;4.03
05:00;Japan;J1 League;Chiba;Urawa Reds;0-2;3.47;3.37;2.10
05:30;Japan;J1 League;FC Tokyo;Kashima Antlers;2-1;2.76;3.15;2.61
06:00;Japan;J2 J3 League;Tochigi City;Vegalta Sendai;1-4;2.65;3.06;2.57
06:00;Japan;J2 J3 League;Omiya Ardija;Yamaga;2-1;1.49;4.26;5.54
06:00;Japan;J2 J3 League;Yokohama FC;Montedio Yamagata;1-2;2.06;3.19;3.42
06:00;Japan;J2 J3 League;Shonan Bellmare;Blaublitz;1-2;2.06;3.20;3.41
06:00;Japan;J2 J3 League;Kofu;Fukushima Utd;4-1;1.62;3.82;4.74
06:00;Japan;J2 J3 League;Iwata;Nagano;1-0;1.42;4.44;6.13
06:00;Japan;J2 J3 League;Nara Club;Tokushima;0-6;5.10;3.91;1.57
06:00;Japan;J2 J3 League;Giravanz Kitakyushu;Gainare Tottori;1-3;2.19;3.14;3.14
06:30;Australia & Oceania;OFC Pro League;PNG Hekari;South Island United;1-2;5.32;4.12;1.52
07:00;Australia;A-League;Brisbane Roar;Central Coast Mariners;1-2;1.72;3.86;4.52
07:30;Australia;NPL NSW;NWS Spirit;Sutherland Sharks;1-0;2.50;3.65;2.42
08:00;Australia;NSW League One;Bankstown City Lions;Rydalmere Lions;4-5;1.39;4.76;6.05
08:00;Hong Kong;Senior Shield;North District;Tai Po;2-3;2.35;3.70;2.52
08:00;Japan;J1 League;Cerezo Osaka;Gamba Osaka;0-1;2.17;3.57;3.11
08:00;Philippines;PFL;Kaya;Don Bosco Garelli;6-0;1.01;16.83;27.00
08:00;Taiwan;Mulan Football League Women;Valkyrie W;Kaohsiung W;0-3;20.86;9.17;1.07
08:00;Taiwan;Mulan Football League Women;Taichung Blue W;AC Taipei W;2-1;1.25;5.37;8.71
08:30;Australia;NPL NSW;St George Saints;Wollongong Wolves;3-0;2.66;3.57;2.30
08:45;Australia;NSW League One;Northern Tigers;Canterbury Bankstown;3-2;1.66;3.95;4.09
09:00;South Africa;Diski Challenge;Siwelele U23;Amazulu U23;;1.72;3.64;4.06
09:00;South Africa;Diski Challenge;Mamelodi Sundowns U23;Sekhukhune U23;;1.47;3.95;5.76
09:00;South Africa;Diski Challenge;Magesi U23;Richards Bay U23;;2.49;3.24;2.53
09:00;South Africa;Diski Challenge;Durban City U23;Polokwane U23;;1.70;3.64;4.14
09:00;South Africa;Diski Challenge;Chippa Utd. U23;Marumo Gallants U23;;3.40;3.61;1.87
10:00;World;Club Friendly;Sturm Graz II (Aut);Taborsko (Cze);;2.86;3.78;2.10
10:45;Philippines;PFL;Tuloy;Philippine Army;;1.03;10.64;41.19
11:00;Greece;Division A Women;OFI Crete W;Atromitou W;;1.02;14.34;67.66
11:00;Italy;Primavera 2;Ascoli U19;Salernitana U19;;1.87;3.57;3.62
11:00;Italy;Primavera 2;Palermo U19;Benevento U19;;2.64;3.29;2.38
11:00;Portugal;Liga Revelacao U23;Maritimo U23;Gil Vicente U23;;3.31;3.52;1.97
11:00;South Africa;Diski Challenge;Golden Arrows U23;Stellenbosch U23;;3.84;3.82;1.72
11:00;Taiwan;Mulan Football League Women;Taipei Bravo W;Taichung Sakura W;;4.54;3.75;1.62
11:00;Taiwan;Mulan Football League Women;Hualien W;Hang Yuan W;;16.25;8.18;1.08
11:00;Vietnam;V.League 2;Quang Ninh;Van Hien;;2.25;3.00;3.05
11:00;World;Club Friendly;Puchov (Svk);Kromeriz (Cze);;2.72;4.12;2.04
11:00;World;Club Friendly;Meyrin (Sui);Bavois (Sui);;4.32;3.63;1.69
11:00;World;Club Friendly;Austria Vienna (Am) (Aut);Traiskirchen (Aut);;1.34;5.61;5.98
11:00;World;Club Friendly;Bjelovar (Cro);Zdralovi (Cro);;5.20;4.14;1.51
11:00;World;Club Friendly;Kuressaare (Est);Nomme Utd (Est);;2.32;3.97;2.37
11:30;Azerbaijan;I Liqa;Shimal;Mingachevir;;12.32;5.38;1.18
11:30;Bulgaria;efbet League;Cherno More;Spartak Varna;;1.32;4.77;9.03
11:30;Italy;Primavera 2;Como U19;Udinese U19;;1.48;4.37;5.09
11:30;Italy;Primavera 2;Sudtirol U19;Sampdoria U19;;2.60;3.24;2.45
11:30;Italy;Primavera 2;Crotone U19;Pisa U19;;3.91;3.47;1.80
11:30;Spain;Primera Federacion Women;Atl. Madrid B W;Real Madrid B W;;2.74;2.98;2.47
11:30;Spain;Primera Federacion Women;Alaves W;Barcelona B W;;1.94;3.33;3.53
11:30;Turkey;1. Lig;Sariyer;Sivasspor;;2.34;3.15;2.90
11:30;Turkey;1. Lig;Hatayspor;Erokspor;;21.73;11.02;1.05
11:30;World;Club Friendly;Flora (Est);Ogre United (Lat);;1.15;6.95;11.17
11:35;World;Club Friendly;Atus Ferlach (Aut);Annabichler (Aut);;2.03;4.00;2.84
12:00;Burundi;Primus League;Dynamik;Le Messager Ngozi;;3.15;3.85;1.93
12:00;Cambodia;CPL;Tiffy Army;Kirivong Sok Sen Chey;;1.85;3.47;3.52
12:00;Cambodia;CPL;Phnom Penh Crown;NagaWorld;;1.62;3.58;4.55
