captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	reason
13:53:18	14:00	7	STEAM	US Chaouia vs Magra	1 (US Chaouia)	1.52	95%	-11.1%	1.71	Steam move: odds dropped -11.1% | Sustained odds drop: 1.71 → 1.52 (-11.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	MSP Batna vs CA Batna	2 (CA Batna)	2.04	95%	-17.7%	2.48	Steam move: odds dropped -17.7% | Sustained odds drop: 2.48 → 2.04 (-17.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Chelghoum vs Telaghema	2 (Telaghema)	1.28	95%	-11.1%	1.44	Steam move: odds dropped -11.1% | Sustained odds drop: 1.44 → 1.28 (-11.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	GC Mascara vs El Biar	2 (El Biar)	1.82	95%	-15.7%	2.16	Steam move: odds dropped -15.7% | Sustained odds drop: 2.16 → 1.82 (-15.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Austria Vienna W vs St. Polten W	1 (Austria Vienna W)	1.86	95%	-9.7%	2.06	Steam move: odds dropped -9.7% | Sustained odds drop: 2.06 → 1.86 (-9.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Garage Express vs Olympic S.	1 (Garage Express)	5.20	95%	-16.1%	6.20	Steam move: odds dropped -16.1% | Sustained odds drop: 6.20 → 5.20 (-16.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Jippo vs Klubi 04	1 (Jippo)	1.29	95%	-9.2%	1.42	Steam move: odds dropped -9.2% | Sustained odds drop: 1.42 → 1.29 (-9.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Regensburg vs Viktoria Koln	1 (Regensburg)	2.12	95%	-8.6%	2.32	Steam move: odds dropped -8.6% | Sustained odds drop: 2.32 → 2.12 (-8.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	BVSC-Zuglo vs Csakvari	1 (BVSC-Zuglo)	2.51	95%	-8.1%	2.73	Steam move: odds dropped -8.1% | Sustained odds drop: 2.73 → 2.51 (-8.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
13:53:18	14:00	7	STEAM	Wiener Viktoria (Aut) vs Dietach (Aut)	2 (Dietach (Aut))	2.46	95%	-20.1%	3.08	Steam move: odds dropped -20.1% | Sustained odds drop: 3.08 → 2.46 (-20.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 42 snapshots — robust data
