captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
00:23:56	00:30	6	LATE_SHARP	Independiente vs Tomayapo	1 (Independiente)	1.57	95%	-10.3%	1.75				Late sharp move detected on 1 | Steam move: odds dropped -10.3% | Sustained odds drop: 1.75 → 1.57 (-10.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 173 snapshots — robust data
00:23:56	00:30	6	STEAM	Fluminense vs Marica	1 (Fluminense)	1.15	95%	-10.2%	1.28				Steam move: odds dropped -10.2% | Sustained odds drop: 1.28 → 1.15 (-10.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 90 snapshots — robust data
00:23:56	00:30	6	STEAM	Uniao Cacoalense vs Porto Velho	2 (Porto Velho)	1.44	95%	-18.6%	1.77				Steam move: odds dropped -18.6% | Sustained odds drop: 1.77 → 1.44 (-18.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 81 snapshots — robust data
00:23:56	00:30	6	STEAM	Corinthians vs Palmeiras	1 (Corinthians)	2.78	80%	-5.8%	2.95				Steam move: odds dropped -5.8% | Sustained odds drop: 2.95 → 2.78 (-5.8%) | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 90 snapshots — robust data
00:52:12	01:00	8	MIXED	Weymouth Wales vs Brittons Hill	1 (Weymouth Wales)	1.25	30%	-4.6%	1.31				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 98 snapshots — robust data
01:51:00	02:00	9	STEAM	Jalapa vs UNAN-Managua	1 (Jalapa)	1.51	95%	-18.8%	1.86				Steam move: odds dropped -18.8% | Sustained odds drop: 1.86 → 1.51 (-18.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 123 snapshots — robust data
01:51:00	02:00	9	MIXED	Sporting FC vs Guadalupe	1 (Sporting FC)	1.42	30%	-4.0%	1.48				Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 123 snapshots — robust data
02:07:37	02:15	7	STEAM	Gimnasia Mendoza vs Instituto	2 (Instituto)	2.59	80%	-14.5%	3.03				Steam move: odds dropped -14.5% | Sustained odds drop: 3.03 → 2.59 (-14.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 130 snapshots — robust data
02:07:37	02:15	7	STEAM	Velez Sarsfield vs Boca Juniors	2 (Boca Juniors)	2.50	80%	-5.7%	2.65				Steam move: odds dropped -5.7% | Sustained odds drop: 2.65 → 2.50 (-5.7%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 130 snapshots — robust data
02:21:52	02:30	8	STEAM	Jaguares de Cordoba vs Pereira	1 (Jaguares de Cordoba)	1.98	80%	-8.8%	2.17				Steam move: odds dropped -8.8% | Sustained odds drop: 2.17 → 1.98 (-8.8%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 136 snapshots — robust data
02:53:07	03:00	7	STEAM	Jalapa vs UNAN-Managua	1 (Jalapa)	1.52	95%	-18.3%	1.86				Steam move: odds dropped -18.3% | Sustained odds drop: 1.86 → 1.52 (-18.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 152 snapshots — robust data
09:51:49	10:00	8	STEAM	Yarmanya United vs Hantharwady Utd	2 (Hantharwady Utd)	1.06	95%	-12.4%	1.21				Steam move: odds dropped -12.4% | Sustained odds drop: 1.21 → 1.06 (-12.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 146 snapshots — robust data
10:23:10	10:30	7	STEAM	Dagon vs Ispe FC	1 (Dagon)	1.55	95%	-18.9%	1.91				Steam move: odds dropped -18.9% | Sustained odds drop: 1.91 → 1.55 (-18.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 314 snapshots — robust data
10:51:42	11:00	8	LATE_SHARP	Karakopru vs Diyarbekirspor	2 (Diyarbekirspor)	3.85	95%	-23.9%	5.06				Late sharp move detected on 2 | Steam move: odds dropped -23.9% | Sustained odds drop: 5.06 → 3.85 (-23.9%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 310 snapshots — robust data
10:51:42	11:00	8	STEAM	Sebat Genclikspor vs Giresunspor	1 (Sebat Genclikspor)	1.10	95%	-8.3%	1.20				Steam move: odds dropped -8.3% | Sustained odds drop: 1.20 → 1.10 (-8.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 318 snapshots — robust data
10:51:42	11:00	8	STEAM	Karadeniz Eregli vs Pazarspor	2 (Pazarspor)	4.37	95%	-8.4%	4.77				Steam move: odds dropped -8.4% | Sustained odds drop: 4.77 → 4.37 (-8.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 144 snapshots — robust data
10:51:42	11:00	8	SUSTAINED_DROP	Karakopru vs Diyarbekirspor	X (Draw)	3.05	50%	-11.3%	3.44				Sustained odds drop: 3.44 → 3.05 (-11.3%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 310 snapshots — robust data
10:51:42	11:00	8	MIXED	Malatya vs Mazidagi	X (Draw)	2.93	30%	-2.0%	2.99				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 46 snapshots — robust data
10:51:42	11:00	8	MIXED	Yozgat vs Karabuk Idmanyurdu	1 (Yozgat)	1.24	30%	-4.6%	1.30				Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 315 snapshots — robust data
10:54:36	11:00	5	LATE_SHARP	Sebat Genclikspor vs Giresunspor	2 (Giresunspor)	16.32	50%	+37.1%	11.90				Late sharp move detected on 2 | Only 5 min to kick-off — late data is more reliable | 319 snapshots — robust data
10:54:36	11:00	5	LATE_SHARP	Yozgat vs Karabuk Idmanyurdu	2 (Karabuk Idmanyurdu)	8.98	50%	+27.9%	7.02				Late sharp move detected on 2 | Only 5 min to kick-off — late data is more reliable | 316 snapshots — robust data
11:21:13	11:30	9	STEAM	Imisli FK vs Kapaz	1 (Imisli FK)	2.22	80%	-22.4%	2.86				Steam move: odds dropped -22.4% | Sustained odds drop: 2.86 → 2.22 (-22.4%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 382 snapshots — robust data
11:21:13	11:30	9	STEAM	Mes Shahr Babak vs Ario Eslamshahr	2 (Ario Eslamshahr)	3.59	65%	-5.5%	3.80				Steam move: odds dropped -5.5% | Sustained odds drop: 3.80 → 3.59 (-5.5%) | Only 9 min to kick-off — late data is more reliable | 210 snapshots — robust data
11:22:54	11:30	7	STEAM	Shamakhi vs Qarabag	2 (Qarabag)	1.32	80%	-5.7%	1.40				Steam move: odds dropped -5.7% | Sustained odds drop: 1.40 → 1.32 (-5.7%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 22 snapshots — robust data
11:22:54	11:30	7	STEAM	Bandirmaspor vs Serik Spor	X (Draw)	7.14	80%	-8.6%	7.81				Steam move: odds dropped -8.6% | Sustained odds drop: 7.81 → 7.14 (-8.6%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 5 snapshots — robust data
11:52:45	12:00	7	STEAM	Nam Dinh vs Hong Linh Ha Tinh	2 (Hong Linh Ha Tinh)	6.44	80%	-15.8%	7.65				Steam move: odds dropped -15.8% | Sustained odds drop: 7.65 → 6.44 (-15.8%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 367 snapshots — robust data
