kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
13:00	6	STEAM	GOSK Gabela vs Prijedor	2 (Prijedor)	2.12	80%	-16.9%	2.55				Steam move: odds dropped -16.9% | Sustained odds drop: 2.55 → 2.12 (-16.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1258 snapshots — robust data
13:00	6	STEAM	Sanatatea Cluj vs Petrolul	1 (Sanatatea Cluj)	5.13	80%	-20.7%	6.47				Steam move: odds dropped -20.7% | Sustained odds drop: 6.47 → 5.13 (-20.7%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1271 snapshots — robust data
13:00	6	STEAM	Chanthaburi vs Mahasarakham	2 (Mahasarakham)	2.51	80%	-14.9%	2.95				Steam move: odds dropped -14.9% | Sustained odds drop: 2.95 → 2.51 (-14.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	STEAM	Nakhon Si vs Khonkaen Utd.	X (Draw)	3.32	80%	-15.5%	3.93				Steam move: odds dropped -15.5% | Sustained odds drop: 3.93 → 3.32 (-15.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	STEAM	GOSK Gabela vs Prijedor	2 (Prijedor)	2.12	80%	-16.9%	2.55				Steam move: odds dropped -16.9% | Sustained odds drop: 2.55 → 2.12 (-16.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1258 snapshots — robust data
13:00	6	STEAM	Sanatatea Cluj vs Petrolul	1 (Sanatatea Cluj)	5.13	80%	-20.7%	6.47				Steam move: odds dropped -20.7% | Sustained odds drop: 6.47 → 5.13 (-20.7%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1271 snapshots — robust data
13:00	6	STEAM	Chanthaburi vs Mahasarakham	2 (Mahasarakham)	2.51	80%	-14.9%	2.95				Steam move: odds dropped -14.9% | Sustained odds drop: 2.95 → 2.51 (-14.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	STEAM	Nakhon Si vs Khonkaen Utd.	X (Draw)	3.32	80%	-15.5%	3.93				Steam move: odds dropped -15.5% | Sustained odds drop: 3.93 → 3.32 (-15.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	SUSTAINED_DROP	Nakhon Si vs Khonkaen Utd.	1 (Nakhon Si)	2.93	50%	-17.5%	3.55				Sustained odds drop: 3.55 → 2.93 (-17.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	SUSTAINED_DROP	Nakhon Si vs Khonkaen Utd.	1 (Nakhon Si)	2.93	50%	-17.5%	3.55				Sustained odds drop: 3.55 → 2.93 (-17.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 1246 snapshots — robust data
13:00	6	SUSTAINED_DROP	GOSK Gabela vs Prijedor	X (Draw)	3.01	35%	-6.5%	3.22				Sustained odds drop: 3.22 → 3.01 (-6.5%) | Only 7 min to kick-off — late data is more reliable | 1258 snapshots — robust data
13:00	6	SUSTAINED_DROP	GOSK Gabela vs Prijedor	X (Draw)	3.01	35%	-6.5%	3.22				Sustained odds drop: 3.22 → 3.01 (-6.5%) | Only 7 min to kick-off — late data is more reliable | 1258 snapshots — robust data
13:15	21	STEAM	Shanghai Shenhua (Chn) vs Machida (Jpn)	2 (Machida (Jpn))	1.88	95%	-23.3%	2.45				Steam move: odds dropped -23.3% | Sustained odds drop: 2.45 → 1.88 (-23.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 1317 snapshots — robust data
13:15	21	STEAM	Cong An Ha Noi vs Tampines	1 (Cong An Ha Noi)	1.30	95%	-8.5%	1.42				Steam move: odds dropped -8.5% | Sustained odds drop: 1.42 → 1.30 (-8.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 290 snapshots — robust data
13:15	21	STEAM	Shanghai Shenhua (Chn) vs Machida (Jpn)	2 (Machida (Jpn))	1.88	95%	-23.3%	2.45				Steam move: odds dropped -23.3% | Sustained odds drop: 2.45 → 1.88 (-23.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 1317 snapshots — robust data
13:30	36	STEAM	KF Tirana vs Dinamo Tirana	1 (KF Tirana)	2.73	85%	-11.7%	3.09				Steam move: odds dropped -11.7% | Sustained odds drop: 3.09 → 2.73 (-11.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 405 snapshots — robust data
13:30	36	STEAM	Bylis vs Vllaznia	X (Draw)	3.09	70%	-9.1%	3.40				Steam move: odds dropped -9.1% | Sustained odds drop: 3.40 → 3.09 (-9.1%) | Strong drop >8% | 1254 snapshots — robust data
13:30	36	STEAM	Bylis vs Vllaznia	X (Draw)	3.09	70%	-9.1%	3.40				Steam move: odds dropped -9.1% | Sustained odds drop: 3.40 → 3.09 (-9.1%) | Strong drop >8% | 1254 snapshots — robust data
13:40	46	STEAM	Al Anwar vs Jeddah	1 (Al Anwar)	1.94	55%	-5.8%	2.06				Steam move: odds dropped -5.8% | Sustained odds drop: 2.06 → 1.94 (-5.8%) | 1261 snapshots — robust data
13:40	46	STEAM	Al Anwar vs Jeddah	1 (Al Anwar)	1.94	55%	-5.8%	2.06				Steam move: odds dropped -5.8% | Sustained odds drop: 2.06 → 1.94 (-5.8%) | 1261 snapshots — robust data
14:00	66	VALUE+STEAM	Shkupi vs Tikves	2 (Tikves)	1.21	85%	-79.8%	6.00	+7.5%	1.13	5.0%	Steam move: odds dropped -79.8% | Sustained odds drop: 6.00 → 1.21 (-79.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1260 snapshots — robust data
14:00	66	STEAM	Al-Hilal Omdurman vs APR	1 (Al-Hilal Omdurman)	1.77	85%	-9.2%	1.95				Steam move: odds dropped -9.2% | Sustained odds drop: 1.95 → 1.77 (-9.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1242 snapshots — robust data
14:00	66	STEAM	Dynamo Moscow (Rus) vs Krasnodar (Rus)	2 (Krasnodar (Rus))	2.04	85%	-8.5%	2.23				Steam move: odds dropped -8.5% | Sustained odds drop: 2.23 → 2.04 (-8.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
14:00	66	STEAM	Botev Vratsa vs Arda	2 (Arda)	1.93	85%	-18.9%	2.38				Steam move: odds dropped -18.9% | Sustained odds drop: 2.38 → 1.93 (-18.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
14:00	66	VALUE+STEAM	Shkupi vs Tikves	2 (Tikves)	1.21	85%	-79.8%	6.00	+7.5%	1.13	5.0%	Steam move: odds dropped -79.8% | Sustained odds drop: 6.00 → 1.21 (-79.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1260 snapshots — robust data
14:00	66	STEAM	Al-Hilal Omdurman vs APR	1 (Al-Hilal Omdurman)	1.77	85%	-9.2%	1.95				Steam move: odds dropped -9.2% | Sustained odds drop: 1.95 → 1.77 (-9.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1242 snapshots — robust data
14:00	66	STEAM	Dynamo Moscow (Rus) vs Krasnodar (Rus)	2 (Krasnodar (Rus))	2.04	85%	-8.5%	2.23				Steam move: odds dropped -8.5% | Sustained odds drop: 2.23 → 2.04 (-8.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
14:00	66	STEAM	Barnsley U21 vs Fleetwood U21	2 (Fleetwood U21)	2.45	70%	-10.3%	2.73				Steam move: odds dropped -10.3% | Sustained odds drop: 2.73 → 2.45 (-10.3%) | Strong drop >8% | 1257 snapshots — robust data
14:00	66	STEAM	Shkendija vs Struga	X (Draw)	3.14	70%	-10.3%	3.50				Steam move: odds dropped -10.3% | Sustained odds drop: 3.50 → 3.14 (-10.3%) | Strong drop >8% | 1260 snapshots — robust data
14:00	66	STEAM	Spartak Moscow (Rus) vs FC Astana (Kaz)	1 (Spartak Moscow (Rus))	1.22	70%	-10.3%	1.36				Steam move: odds dropped -10.3% | Sustained odds drop: 1.36 → 1.22 (-10.3%) | Strong drop >8% | 1256 snapshots — robust data
14:00	66	STEAM	Barnsley U21 vs Fleetwood U21	2 (Fleetwood U21)	2.45	70%	-10.3%	2.73				Steam move: odds dropped -10.3% | Sustained odds drop: 2.73 → 2.45 (-10.3%) | Strong drop >8% | 1257 snapshots — robust data
14:00	66	STEAM	Shkendija vs Struga	X (Draw)	3.14	70%	-10.3%	3.50				Steam move: odds dropped -10.3% | Sustained odds drop: 3.50 → 3.14 (-10.3%) | Strong drop >8% | 1260 snapshots — robust data
14:00	66	STEAM	Spartak Moscow (Rus) vs FC Astana (Kaz)	1 (Spartak Moscow (Rus))	1.22	70%	-10.3%	1.36				Steam move: odds dropped -10.3% | Sustained odds drop: 1.36 → 1.22 (-10.3%) | Strong drop >8% | 1256 snapshots — robust data
