captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
12:53:35	2026-02-11	1	17:00	Tractor (Irn) vs Al-Sadd (Qat)	2 (Al-Sadd (Qat))	1.70	2.85	-40.4%	1317	85%	95.5	DA	STEAM	early	Steam move: -40.4% | Drop: 2.85 → 1.70 (-40.4%) | Strong drop >8% | Market consensus — others rising | 1317 snapshots | EARLY
12:53:35	2026-02-11	1	14:00	Shkupi vs Tikves	2 (Tikves)	1.21	6.00	-79.8%	1260	85%	95.5	DA	STEAM	early	Steam move: -79.8% | Drop: 6.00 → 1.21 (-79.8%) | Strong drop >8% | Market consensus — others rising | 1260 snapshots | EARLY
12:53:35	2026-02-11	1	15:30	Sloga Doboj vs Tekstilac	1 (Sloga Doboj)	1.08	1.77	-39.0%	1258	85%	95.5	DA	STEAM	early	Steam move: -39.0% | Drop: 1.77 → 1.08 (-39.0%) | Strong drop >8% | Market consensus — others rising | 1258 snapshots | EARLY
12:53:35	2026-02-11	1	20:00	Wolves U21 vs Monaco II	2 (Monaco II)	1.65	2.16	-23.6%	1317	85%	93.3	DA	STEAM	early	Steam move: -23.6% | Drop: 2.16 → 1.65 (-23.6%) | Strong drop >8% | Market consensus — others rising | 1317 snapshots | EARLY
12:53:35	2026-02-11	1	13:15	Shanghai Shenhua (Chn) vs Machida (Jpn)	2 (Machida (Jpn))	1.88	2.45	-23.3%	1317	85%	92.7	DA	STEAM	early	Steam move: -23.3% | Drop: 2.45 → 1.88 (-23.3%) | Strong drop >8% | Market consensus — others rising | 1317 snapshots | EARLY
12:45:41	2026-02-14	4	17:00	Bodrumspor vs Keciorengucu	1 (Bodrumspor)	1.89	2.43	-22.2%	122	85%	91.1	DA	STEAM	early	Steam move: -22.2% | Drop: 2.43 → 1.89 (-22.2%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:45:41	2026-02-14	4	13:30	Metaloglobus Bucharest vs Otelul	2 (Otelul)	1.40	1.78	-21.3%	122	85%	89.7	DA	STEAM	early	Steam move: -21.3% | Drop: 1.78 → 1.40 (-21.3%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:53:35	2026-02-11	1	16:00	Sitra (Bhr) vs Al Ain (Uae)	2 (Al Ain (Uae))	2.02	2.57	-21.4%	1260	85%	89.7	DA	STEAM	early	Steam move: -21.4% | Drop: 2.57 → 2.02 (-21.4%) | Strong drop >8% | Market consensus — others rising | 1260 snapshots | EARLY
12:45:41	2026-02-15	5	00:00	Colon Santa Fe vs Deportivo Madryn	2 (Deportivo Madryn)	3.07	3.89	-21.1%	121	85%	89.2	DA	STEAM	early	Steam move: -21.1% | Drop: 3.89 → 3.07 (-21.1%) | Strong drop >8% | Market consensus — others rising | 121 snapshots | EARLY
12:45:41	2026-02-14	4	09:30	PSM Makassar vs Dewa United	1 (PSM Makassar)	2.31	2.90	-20.3%	115	85%	88.0	DA	STEAM	early	Steam move: -20.3% | Drop: 2.90 → 2.31 (-20.3%) | Strong drop >8% | Market consensus — others rising | 115 snapshots | EARLY
12:45:41	2026-02-15	5	16:00	Amarante vs Academica	1 (Amarante)	2.80	3.51	-20.2%	120	85%	87.9	DA	STEAM	early	Steam move: -20.2% | Drop: 3.51 → 2.80 (-20.2%) | Strong drop >8% | Market consensus — others rising | 120 snapshots | EARLY
12:53:35	2026-02-11	1	18:00	Zrinjski vs Stupcanica	1 (Zrinjski)	1.15	1.43	-19.6%	1258	85%	86.8	DA	STEAM	early	Steam move: -19.6% | Drop: 1.43 → 1.15 (-19.6%) | Strong drop >8% | Market consensus — others rising | 1258 snapshots | EARLY
12:45:41	2026-02-12	2	11:30	Sahdag Qusar vs Cebrayil	1 (Sahdag Qusar)	2.11	2.62	-19.5%	117	85%	86.7	DA	STEAM	early	Steam move: -19.5% | Drop: 2.62 → 2.11 (-19.5%) | Strong drop >8% | Market consensus — others rising | 117 snapshots | EARLY
12:53:35	2026-02-11	1	15:00	Hamrun vs Hibernians	1 (Hamrun)	1.37	1.69	-18.9%	1241	85%	85.8	DA	STEAM	early	Steam move: -18.9% | Drop: 1.69 → 1.37 (-18.9%) | Strong drop >8% | Market consensus — others rising | 1241 snapshots | EARLY
12:53:35	2026-02-11	1	14:00	Botev Vratsa vs Arda	2 (Arda)	1.93	2.38	-18.9%	321	85%	85.8	DA	STEAM	early	Steam move: -18.9% | Drop: 2.38 → 1.93 (-18.9%) | Strong drop >8% | Market consensus — others rising | 321 snapshots | EARLY
01:30:21	2026-02-11	1	01:30	Estudiantes Rio Cuarto vs Ind. Rivadavia	2 (Ind. Rivadavia)	2.26	2.69	-16.0%	283	85%	81.1	DA	STEAM	early	Steam move: -16.0% | Drop: 2.69 → 2.26 (-16.0%) | Strong drop >8% | Market consensus — others rising | 283 snapshots | EARLY
12:53:35	2026-02-11	1	17:00	Sepahan vs Al Ahli Doha	2 (Al Ahli Doha)	2.72	4.31	-36.9%	284	70%	81.0	NE	STEAM	early	Steam move: -36.9% | Drop: 4.31 → 2.72 (-36.9%) | Strong drop >8% | 284 snapshots | EARLY
09:27:07	2026-02-11	1	12:00	Sisaket United vs Trat FC	2 (Trat FC)	3.43	4.88	-29.7%	956	70%	81.0	NE	STEAM	early	Steam move: -29.7% | Drop: 4.88 → 3.43 (-29.7%) | Strong drop >8% | 956 snapshots | EARLY
12:45:41	2026-02-14	4	11:15	Septemvri Sofia vs Montana	2 (Montana)	2.61	3.57	-26.9%	122	70%	81.0	NE	STEAM	early	Steam move: -26.9% | Drop: 3.57 → 2.61 (-26.9%) | Strong drop >8% | 122 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Chorley vs Southport	2 (Southport)	2.90	3.90	-25.6%	1273	70%	81.0	NE	STEAM	early	Steam move: -25.6% | Drop: 3.90 → 2.90 (-25.6%) | Strong drop >8% | 1273 snapshots | EARLY
00:59:20	2026-02-11	1	01:00	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	2.70	3.19	-15.4%	242	85%	80.1	DA	STEAM	early	Steam move: -15.4% | Drop: 3.19 → 2.70 (-15.4%) | Strong drop >8% | Market consensus — others rising | 242 snapshots | EARLY
12:45:41	2026-02-16	6	16:00	FC Hermannstadt vs CFR Cluj	2 (CFR Cluj)	1.84	2.17	-15.2%	118	85%	79.8	DA	STEAM	early	Steam move: -15.2% | Drop: 2.17 → 1.84 (-15.2%) | Strong drop >8% | Market consensus — others rising | 118 snapshots | EARLY
12:45:41	2026-02-15	5	21:00	Atletico Atlanta vs Quilmes	1 (Atletico Atlanta)	1.81	2.13	-15.0%	119	85%	79.5	DA	STEAM	early	Steam move: -15.0% | Drop: 2.13 → 1.81 (-15.0%) | Strong drop >8% | Market consensus — others rising | 119 snapshots | EARLY
12:45:41	2026-02-16	6	19:00	Din. Bucuresti vs Unirea Slobozia	1 (Din. Bucuresti)	1.25	1.46	-14.4%	118	85%	78.5	DA	STEAM	early	Steam move: -14.4% | Drop: 1.46 → 1.25 (-14.4%) | Strong drop >8% | Market consensus — others rising | 118 snapshots | EARLY
09:18:40	2026-02-11	1	13:30	Bylis vs Vllaznia	1 (Bylis)	2.44	3.14	-22.3%	942	75%	78.2	NE	LATE_SHARP	early	Late sharp move on 1 | Drop: 3.14 → 2.44 (-22.3%) | Strong drop >8% | 942 snapshots | EARLY
12:53:35	2026-02-11	1	23:00	Vasco da Gama AC vs Independencia	2 (Independencia)	3.05	3.97	-23.2%	1131	70%	78.1	NE	STEAM	early	Steam move: -23.2% | Drop: 3.97 → 3.05 (-23.2%) | Strong drop >8% | 1131 snapshots | EARLY
12:45:41	2026-02-14	4	22:00	Limache vs O'Higgins	2 (O'Higgins)	2.59	3.00	-13.7%	122	85%	77.4	DA	STEAM	early	Steam move: -13.7% | Drop: 3.00 → 2.59 (-13.7%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:53:35	2026-02-11	1	23:00	Santa Cruz vs Nautico	2 (Nautico)	1.88	2.16	-13.0%	318	85%	76.2	DA	STEAM	early	Steam move: -13.0% | Drop: 2.16 → 1.88 (-13.0%) | Strong drop >8% | Market consensus — others rising | 318 snapshots | EARLY
12:45:41	2026-02-12	2	11:30	Baku Sporting vs MOIK Baku	1 (Baku Sporting)	1.70	1.95	-12.8%	117	85%	76.0	DA	STEAM	early	Steam move: -12.8% | Drop: 1.95 → 1.70 (-12.8%) | Strong drop >8% | Market consensus — others rising | 117 snapshots | EARLY
12:45:41	2026-02-14	4	18:45	Excelsior vs AZ Alkmaar	1 (Excelsior)	3.47	4.44	-21.9%	122	70%	76.0	NE	STEAM	early	Steam move: -21.9% | Drop: 4.44 → 3.47 (-21.9%) | Strong drop >8% | 122 snapshots | EARLY
12:45:41	2026-02-14	4	17:00	Ried vs LASK	1 (Ried)	2.48	2.84	-12.7%	122	85%	75.8	DA	STEAM	early	Steam move: -12.7% | Drop: 2.84 → 2.48 (-12.7%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:53:35	2026-02-11	1	02:00	UNAM Pumas vs San Diego FC	1 (UNAM Pumas)	1.64	1.87	-12.3%	321	85%	75.2	DA	STEAM	early	Steam move: -12.3% | Drop: 1.87 → 1.64 (-12.3%) | Strong drop >8% | Market consensus — others rising | 321 snapshots | EARLY
12:53:35	2026-02-11	1	11:30	AIK W (Swe) vs Brondby W (Den)	2 (Brondby W (Den))	2.29	2.91	-21.3%	746	70%	75.1	NE	STEAM	early	Steam move: -21.3% | Drop: 2.91 → 2.29 (-21.3%) | Strong drop >8% | 746 snapshots | EARLY
07:35:15	2026-02-11	1	17:00	Ludogorets vs Levski Sofia	1 (Ludogorets)	2.04	2.32	-12.1%	203	85%	74.8	DA	STEAM	early	Steam move: -12.1% | Drop: 2.32 → 2.04 (-12.1%) | Strong drop >8% | Market consensus — others rising | 203 snapshots | EARLY
12:45:41	2026-02-12	2	14:30	Lok. Plovdiv vs Botev Plovdiv	2 (Botev Plovdiv)	2.39	3.03	-21.1%	123	70%	74.8	NE	STEAM	early	Steam move: -21.1% | Drop: 3.03 → 2.39 (-21.1%) | Strong drop >8% | 123 snapshots | EARLY
12:45:41	2026-02-14	4	00:30	Palestino vs U. De Chile	1 (Palestino)	3.00	3.80	-21.1%	119	70%	74.7	NE	STEAM	early	Steam move: -21.1% | Drop: 3.80 → 3.00 (-21.1%) | Strong drop >8% | 119 snapshots | EARLY
12:53:35	2026-02-11	1	20:30	Tottenham vs Newcastle	2 (Newcastle)	2.12	2.41	-12.0%	1316	85%	74.7	DA	STEAM	early	Steam move: -12.0% | Drop: 2.41 → 2.12 (-12.0%) | Strong drop >8% | Market consensus — others rising | 1316 snapshots | EARLY
12:45:41	2026-02-13	3	21:00	Cajamarca vs Cusco	2 (Cusco)	2.36	2.68	-11.9%	123	85%	74.6	DA	STEAM	early	Steam move: -11.9% | Drop: 2.68 → 2.36 (-11.9%) | Strong drop >8% | Market consensus — others rising | 123 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Whitehawk vs Cheshunt	1 (Whitehawk)	2.01	2.28	-11.8%	1315	85%	74.4	DA	STEAM	early	Steam move: -11.8% | Drop: 2.28 → 2.01 (-11.8%) | Strong drop >8% | Market consensus — others rising | 1315 snapshots | EARLY
12:53:35	2026-02-11	1	13:30	KF Tirana vs Dinamo Tirana	1 (KF Tirana)	2.73	3.09	-11.7%	405	85%	74.1	DA	STEAM	early	Steam move: -11.7% | Drop: 3.09 → 2.73 (-11.7%) | Strong drop >8% | Market consensus — others rising | 405 snapshots | EARLY
12:45:41	2026-02-12	2	21:00	Retro vs Sport Recife	2 (Sport Recife)	1.99	2.25	-11.6%	254	85%	74.0	DA	STEAM	early	Steam move: -11.6% | Drop: 2.25 → 1.99 (-11.6%) | Strong drop >8% | Market consensus — others rising | 254 snapshots | EARLY
07:42:27	2026-02-11	1	18:00	Al Qadisiya (Kuw) vs Zakho (Irq)	2 (Zakho (Irq))	3.41	4.27	-20.1%	804	70%	73.2	NE	STEAM	early	Steam move: -20.1% | Drop: 4.27 → 3.41 (-20.1%) | Strong drop >8% | 804 snapshots | EARLY
