captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
00:01:51	LIVE 56''	LIVE	Cruz Azul W vs Club America W	X (Draw)	2.79	2.40	+12.0%	T3	75%	64.8	1:1	LIVE_VALUE	Edge: +12.0% | Model: 42% vs market: 36% | Fair: 2.40 vs offered: 2.79 | Drawing 1:1 | Mid-game (56') | T3
00:01:51	LIVE 45+''	LIVE	Estudiantes L.P. vs Dep. Riestra	1 (Estudiantes L.P.)	2.26	1.97	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 51% vs market: 44% | Fair: 1.97 vs offered: 2.26 | Home value in draw | Mid-game (47') | T3
00:01:51	LIVE 45+''	LIVE	Lanus vs Talleres Cordoba	1 (Lanus)	2.65	2.21	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 45% vs market: 38% | Fair: 2.21 vs offered: 2.65 | Home value in draw | Mid-game (47') | T3
00:02:15	LIVE 57''	LIVE	Cruz Azul W vs Club America W	X (Draw)	2.78	2.35	+12.0%	T3	75%	64.8	1:1	LIVE_VALUE	Edge: +12.0% | Model: 43% vs market: 36% | Fair: 2.35 vs offered: 2.78 | Drawing 1:1 | Mid-game (57') | T3
00:02:15	LIVE 45+''	LIVE	Estudiantes L.P. vs Dep. Riestra	1 (Estudiantes L.P.)	2.26	1.97	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 51% vs market: 44% | Fair: 1.97 vs offered: 2.26 | Home value in draw | Mid-game (47') | T3
00:02:15	LIVE 32''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.88	1.63	+12.0%	T3	75%	64.8	1:1	LIVE_VALUE	Edge: +12.0% | Model: 61% vs market: 53% | Fair: 1.63 vs offered: 1.88 | Home value in draw | Mid-game (32') | T3
00:05:45	LIVE 47''	LIVE	Monsoon vs Inter Santa Maria	1 (Monsoon)	12.08	10.04	+12.0%	T3	75%	64.8	0:1	LIVE_VALUE	Edge: +12.0% | Model: 10% vs market: 8% | Fair: 10.04 vs offered: 12.08 | Home trailing by 1 (0:1) | Mid-game (47') | T3
00:05:45	LIVE 60''	LIVE	Cruz Azul W vs Club America W	X (Draw)	2.62	2.21	+12.0%	T3	75%	64.8	1:1	LIVE_VALUE	Edge: +12.0% | Model: 45% vs market: 38% | Fair: 2.21 vs offered: 2.62 | Drawing 1:1 | Second half (60') | T3
00:05:45	LIVE 45+''	LIVE	Estudiantes L.P. vs Dep. Riestra	1 (Estudiantes L.P.)	2.35	1.97	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 51% vs market: 43% | Fair: 1.97 vs offered: 2.35 | Home value in draw | Mid-game (47') | T3
00:10:36	LIVE 48''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.67	1.44	+12.0%	T3	75%	64.8	1:0	LIVE_VALUE	Edge: +12.0% | Model: 69% vs market: 60% | Fair: 1.44 vs offered: 1.67 | Home leading 1:0 | Mid-game (48') | T3
00:10:36	LIVE 10''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.54	1.28	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 65% | Fair: 1.28 vs offered: 1.54 | Home leading 1:0 | Early (10') | T3
00:14:01	LIVE 51''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.67	1.41	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 71% vs market: 60% | Fair: 1.41 vs offered: 1.67 | Home leading 1:0 | Mid-game (51') | T3
00:14:01	LIVE 14''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.54	1.28	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 65% | Fair: 1.28 vs offered: 1.54 | Home leading 1:0 | Early (14') | T3
00:14:03	LIVE 51''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.67	1.41	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 71% vs market: 60% | Fair: 1.41 vs offered: 1.67 | Home leading 1:0 | Mid-game (51') | T3
00:14:03	LIVE 14''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.54	1.28	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 65% | Fair: 1.28 vs offered: 1.54 | Home leading 1:0 | Early (14') | T3
