match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;phase;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;n_historical;p_value;est_winprob
Gimnasia Mendoza|Independiente;Gimnasia Mendoza;Independiente;Argentina;Liga Profesional;02:00;2026-02-25;1;HOME;70;CORRECTION_UP;3.6;3.448275862068969;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;132;107.4;105.1;10.5;20;117;<0.001;0.58
Orenburg|Akron Togliatti;Orenburg;Akron Togliatti;Russia;Premier League;10:00;2026-02-28;2;AWAY;70;CORRECTION_UP;3.46;7.453416149068315;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;129;108.1;101.5;10.2;20;117;<0.001;0.58
Kryvbas|FK Zorya Luhansk;Kryvbas;FK Zorya Luhansk;Ukraine;Premier League;12:00;2026-03-01;1;HOME;70;CORRECTION_UP;2.52;3.703703703703698;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;64;108.6;104.5;7.6;20;117;<0.001;0.58
LNZ Cherkasy|Polissya Zhytomyr;LNZ Cherkasy;Polissya Zhytomyr;Ukraine;Premier League;12:00;2026-02-28;1;HOME;70;CORRECTION_UP;2.65;4.743083003952574;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;129;108.7;104.5;8.1;20;117;<0.001;0.58
Holstein Kiel|Elversberg;Holstein Kiel;Elversberg;Germany;2. Bundesliga;13:00;2026-02-28;1;HOME;70;CORRECTION_UP;3.35;6.349206349206354;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;89;106.9;103.8;10.0;20;117;<0.001;0.58
Cambridge Utd|MK Dons;Cambridge Utd;MK Dons;England;League Two;13:30;2026-02-28;1;HOME;70;CORRECTION_UP;2.38;4.845814977973563;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;75;108.9;106.1;6.9;20;117;<0.001;0.58
Leicester|Norwich;Leicester;Norwich;England;Championship;13:30;2026-02-28;1;HOME;70;CORRECTION_UP;2.38;3.0303030303030236;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;103;105.8;103.5;6.9;20;117;<0.001;0.58
Shrewsbury|Walsall;Shrewsbury;Walsall;England;League Two;13:30;2026-02-28;1;HOME;70;CORRECTION_UP;2.72;3.8167938931297747;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;75;109.2;105.5;8.4;20;117;<0.001;0.58
Dobrudzha|Cherno More;Dobrudzha;Cherno More;Bulgaria;efbet League;14:00;2026-02-28;2;AWAY;70;CORRECTION_UP;2.02;6.878306878306885;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;129;109.8;104.5;4.2;20;117;<0.001;0.58
Rayo Vallecano|Ath Bilbao;Rayo Vallecano;Ath Bilbao;Spain;LaLiga;14:00;2026-02-28;1;HOME;70;CORRECTION_UP;2.65;3.1128404669260727;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;129;106.2;101.6;8.1;20;117;<0.001;0.58
Montana|Botev Plovdiv;Montana;Botev Plovdiv;Bulgaria;efbet League;14:15;2026-02-27;1;HOME;70;CORRECTION_UP;3.5;10.410094637223978;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;133;108.7;102.2;10.3;20;117;<0.001;0.58
FC Volendam|Groningen;FC Volendam;Groningen;Netherlands;Eredivisie;14:30;2026-03-01;2;AWAY;70;CORRECTION_UP;2.02;8.021390374331546;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5);mature;64;107.4;103.3;4.2;20;117;<0.001;0.58
