scan_time;kick_off;home;away;league;country;tip;odds_open;odds_close;change_pct;late_conc;dc_ratio;rise_start;n_snaps;n_changes;max_move_pct;signal;status;result;profit_loss;notes
2026-03-12 16:30:44;18:00;Centre Chiefs;Jwaneng Galaxy;Premier League;Botswana;1;2.58;2.65;2.71;0.0;0.0;early;661;1;2.71;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;20:45;Plymouth Parkway;Wimborne;Southern League Premier South;England;X;3.6;3.7;2.78;0.0;0.0;early;623;1;2.78;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;23:45;Atletico F.C.;Orsomarso;Primera B;Colombia;2;2.75;2.93;6.55;0.292;0.125;early;603;8;3.27;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;13:00;Nakhon Ratchasima FC;Chiangrai Utd;Thai League 1;Thailand;1;3.03;3.14;3.63;0.273;0.0;early;216;2;2.64;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;18:00;Hertha Wels;Kapfenberg;2. Liga;Austria;1;1.95;1.99;2.05;0.25;0.0;early;216;2;1.54;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;18:00;Varazdin;Vukovar 1991;HNL;Croatia;1;2.0;2.05;2.5;0.0;0.0;early;216;1;2.5;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;19:00;Sporting CP B;Chaves;Liga Portugal 2;Portugal;2;2.72;2.81;3.31;0.0;0.0;early;216;4;1.84;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;19:30;Rouen;Stade Briochin;National;France;X;3.88;3.9;0.52;0.0;0.0;early;216;1;0.52;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;19:30;Le Puy-en-Velay;Caen;National;France;2;3.6;3.62;0.56;0.0;0.0;early;216;1;0.56;CORRECTION_UP;pending;;;
2026-03-12 16:30:44;19:30;Bellinzona;Etoile-Carouge;Challenge League;Switzerland;1;2.7;2.75;1.85;0.0;0.0;early;216;1;1.85;CORRECTION_UP;pending;;;
