trade_id;date;match_id;home;away;league;country;predicted_outcome;score_composite;signal_type;odds_at_signal;stake_pct;stake_eur;status;actual_result;actual_score;profit_loss;cumulative_pnl;account;notes
1;2026-02-21;Bandeirante|Francana;Bandeirante;Francana;Paulista A3;Brazil;AWAY;60;CORRECTION_UP;3.39;2.0;20.0;lost;HOME;1-0;-20.0;-20.0;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 10.1%
2;2026-02-21;Banfield|Newells Old Boys;Banfield;Newells Old Boys;Liga Profesional;Argentina;AWAY;70;CORRECTION_UP;3.39;2.0;20.0;lost;HOME;3-0;-20.0;-40.0;A;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 10.1%
3;2026-02-21;Barcelona SC|Tecnico U.;Barcelona SC;Tecnico U.;Liga Pro;Ecuador;AWAY;50;CORRECTION_UP;8.85;2.0;20.0;lost;HOME;1-0;-20.0;-60.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 13.2%
4;2026-02-21;Barra FC|Camboriu;Barra FC;Camboriu;Catarinense;Brazil;AWAY;55;CORRECTION_UP;4.84;2.0;20.0;lost;HOME;3-0;-20.0;-80.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 11.8%
5;2026-02-21;Barranquilla|Inter Palmira;Barranquilla;Inter Palmira;Primera B;Colombia;AWAY;60;CORRECTION_UP;2.59;2.0;20.0;won;AWAY;0-4;31.8;-48.2;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 7.9%
6;2026-02-21;Bragantino|Sao Paulo;Bragantino;Sao Paulo;Paulista;Brazil;HOME;55;NEGLECT_UP;2.51;2.0;20.0;lost;AWAY;1-2;-20.0;-68.2;A;NEGL(+20) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 3.4%
7;2026-02-21;Bucaramanga|Dep. Cali;Bucaramanga;Dep. Cali;Primera A;Colombia;HOME;50;NEGLECT_UP;1.95;2.0;20.0;lost;DRAW;0-0;-20.0;-88.2;A;NEGL(+20) odds_fav(+5) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 0.0%
8;2026-02-21;Buckie Thistle|Formartine Utd;Buckie Thistle;Formartine Utd;Highland League;Scotland;HOME;50;NEGLECT_UP;3.57;2.0;20.0;pending;;;0;-88.2;A;NEGL(+20) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 6.9%
9;2026-02-21;Caersws FC|Penrhyncoch;Caersws FC;Penrhyncoch;Cymru North;Wales;AWAY;55;CORRECTION_UP;4.03;2.0;20.0;pending;;;0;-88.2;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 11.0%
10;2026-02-21;Cerro Porteno|Olimpia Asuncion;Cerro Porteno;Olimpia Asuncion;Copa de Primera;Paraguay;AWAY;60;CORRECTION_UP;3.3;2.0;20.0;won;AWAY;0-1;46.0;-42.2;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 9.9%
11;2026-02-21;Colima FC|Alacranes de Durango;Colima FC;Alacranes de Durango;Liga Premier Serie A;Mexico;HOME;50;CORRECTION_UP;14.55;2.0;20.0;lost;AWAY;1-4;-20.0;-62.2;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 13.7%
12;2026-02-21;Cordobes FC|Santiago;Cordobes FC;Santiago;Liga Premier Serie A;Mexico;AWAY;65;CORRECTION_UP;2.36;2.0;20.0;won;AWAY;0-1;27.2;-35.0;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 6.8%
13;2026-02-21;Dep. Riestra|Huracan;Dep. Riestra;Huracan;Liga Profesional;Argentina;AWAY;70;CORRECTION_UP;3.31;2.0;20.0;lost;DRAW;0-0;-20.0;-55.0;A;CORR(+30) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 10.0%
14;2026-02-21;Deportiva Venados|Inter Playa Del Carmen;Deportiva Venados;Inter Playa Del Carmen;Liga Premier Serie A;Mexico;AWAY;50;CORRECTION_UP;4.04;2.0;20.0;won;AWAY;1-2;60.8;5.8;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 11.0%
15;2026-02-21;FC Cincinnati|Atlanta Utd;FC Cincinnati;Atlanta Utd;MLS;USA;HOME;55;CORRECTION_UP;1.96;2.0;20.0;won;HOME;2-0;19.2;25.0;A;CORR(+30) odds_fav(+5) league(+10) mon_ok(+5) snaps(+5) | Kelly: 3.6%
16;2026-02-21;Ferroviaria W|Botafogo RJ W;Ferroviaria W;Botafogo RJ W;Brasileiro Women;Brazil;HOME;55;CORRECTION_UP;1.4;2.0;20.0;won;HOME;2-1;8.0;33.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 0.0%
17;2026-02-21;Ferro|San Miguel;Ferro;San Miguel;Primera Nacional;Argentina;HOME;50;DRIFT_UP;2.49;2.0;20.0;lost;DRAW;1-1;-20.0;13.0;A;DRIFT(+10) odds_ok(+10) league(+10) top(+5) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 2.4%
18;2026-02-21;Gyor W|Budaorsi SC W;Gyor W;Budaorsi SC W;NB I Women;Hungary;AWAY;50;CORRECTION_UP;73.61;2.0;20.0;lost;HOME;7-0;-20.0;-7.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 14.4%
19;2026-02-21;Halcones|Chilpancingo;Halcones;Chilpancingo;Liga Premier Serie A;Mexico;HOME;55;CORRECTION_UP;1.49;2.0;20.0;lost;DRAW;0-0;-20.0;-27.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 0.0%
20;2026-02-21;Independiente|Blooming;Independiente;Blooming;Torneo Amistoso de Verano;Bolivia;AWAY;50;NEGLECT_UP;3.11;2.0;20.0;won;AWAY;1-5;42.2;15.2;A;NEGL(+20) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 5.8%
21;2026-02-21;Inter Bogotá W|Millonarios W;Inter Bogotá W;Millonarios W;Liga Women;Colombia;HOME;55;CORRECTION_UP;5.23;2.0;20.0;lost;AWAY;2-3;-20.0;-4.8;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 12.0%
22;2026-02-21;Internacional|Ypiranga FC;Internacional;Ypiranga FC;Gaucho;Brazil;AWAY;55;CORRECTION_UP;11.28;2.0;20.0;lost;HOME;4-0;-20.0;-24.8;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 13.5%
23;2026-02-21;KRC Gent|Kalken;KRC Gent;Kalken;Second Amateur Division Group VFV A;Belgium;HOME;65;CORRECTION_UP;2.45;2.0;20.0;won;HOME;4-3;29.0;4.2;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 7.3%
24;2026-02-21;Kawkab Marrakech|Difaa El Jadidi;Kawkab Marrakech;Difaa El Jadidi;Botola Pro;Morocco;AWAY;50;CORRECTION_UP;4.19;2.0;20.0;lost;DRAW;0-0;-20.0;-15.8;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 11.2%
25;2026-02-21;Leones Negros 2|ACF Zapotlanejo;Leones Negros 2;ACF Zapotlanejo;Liga Premier Serie A;Mexico;HOME;50;CORRECTION_UP;1.37;2.0;20.0;won;HOME;3-0;7.4;-8.4;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 0.0%
26;2026-02-21;Leones de Rosario|El Porvenir;Leones de Rosario;El Porvenir;Primera C;Argentina;HOME;60;CORRECTION_UP;2.61;2.0;20.0;lost;DRAW;0-0;-20.0;-28.4;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) | Kelly: 8.0%
27;2026-02-21;Maritsa Milevo|Sekirovo Rakovski;Maritsa Milevo;Sekirovo Rakovski;Third League - South-East;Bulgaria;AWAY;55;CORRECTION_UP;8.92;2.0;20.0;lost;DRAW;1-1;-20.0;-48.4;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 13.2%
28;2026-02-21;Mixto|Operario VG;Mixto;Operario VG;Matogrossense;Brazil;AWAY;50;CORRECTION_UP;4.42;2.0;20.0;lost;HOME;2-1;-20.0;-68.4;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) | Kelly: 11.4%
29;2026-02-21;Moghreb Tetouan|US Boujaad;Moghreb Tetouan;US Boujaad;Botola 2;Morocco;HOME;65;CORRECTION_UP;2.12;2.0;20.0;won;HOME;1-0;22.4;-46.0;A;CORR(+30) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 5.1%
30;2026-02-21;Monte Roraima|Rio Negro;Monte Roraima;Rio Negro;Roraimense;Brazil;AWAY;55;CORRECTION_UP;9.62;2.0;20.0;lost;HOME;3-0;-20.0;-66.0;A;CORR(+30) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 13.3%
31;2026-02-21;Neftci Baku|Qarabag;Neftci Baku;Qarabag;Premier League;Azerbaijan;HOME;55;CORRECTION_UP;4.3;2.0;20.0;pending;;;0;-66.0;A;CORR(+30) league(+10) top(+5) mon_ok(+5) snaps(+5) | Kelly: 11.3%
32;2026-02-21;O'Higgins|Colo Colo;O'Higgins;Colo Colo;Liga de Primera;Chile;AWAY;55;NEGLECT_UP;2.46;2.0;20.0;won;AWAY;0-1;29.2;-36.8;A;NEGL(+20) odds_ok(+10) league(+10) mon_ok(+5) snaps(+5) OR↓(+5) | Kelly: 3.1%
