alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.050896;Kucukcekmece|Bursa Yildirimspor;Kucukcekmece;Bursa Yildirimspor;13:00;STEAM;2;2.49;3.22;-0.2267;0.95;0.2267;216;flat;1.0;;;;Steam move: odds dropped -22.7% | Sustained odds drop: 3.22 → 2.49 (-22.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 216 snapshots — robust data
2026-02-08T12:38:49.063785;West Ham W|Brighton W;West Ham W;Brighton W;13:00;STEAM;2;1.71;2.05;-0.1659;0.95;0.1659;221;flat;1.0;;;;Steam move: odds dropped -16.6% | Sustained odds drop: 2.05 → 1.71 (-16.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 221 snapshots — robust data
2026-02-08T12:38:49.066178;Apolonia Fier|Pogradeci;Apolonia Fier;Pogradeci;13:30;STEAM;2;1.76;1.92;-0.0833;0.85;0.0833;175;flat;1.0;loss;-1.0;2026-02-08T12:38:50.020845;Steam move: odds dropped -8.3% | Sustained odds drop: 1.92 → 1.76 (-8.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 175 snapshots — robust data
2026-02-08T12:38:49.071215;Burreli|Iliria Fushe-Kruje;Burreli;Iliria Fushe-Kruje;13:30;STEAM;2;2.38;3.31;-0.281;0.85;0.281;215;flat;1.0;;;;Steam move: odds dropped -28.1% | Sustained odds drop: 3.31 → 2.38 (-28.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 215 snapshots — robust data
2026-02-08T12:38:49.076715;Foolad|Gol Gohar;Foolad;Gol Gohar;13:30;STEAM;X;2.37;2.69;-0.119;0.85;0.119;213;flat;1.0;;;;Steam move: odds dropped -11.9% | Sustained odds drop: 2.69 → 2.37 (-11.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 213 snapshots — robust data
2026-02-08T12:38:49.103584;KF Tirana|Dinamo Tirana;KF Tirana;Dinamo Tirana;13:30;STEAM;2;2.06;2.41;-0.1452;0.85;0.1452;176;flat;1.0;loss;-1.0;2026-02-08T12:38:50.033418;Steam move: odds dropped -14.5% | Sustained odds drop: 2.41 → 2.06 (-14.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 176 snapshots — robust data
2026-02-08T12:38:49.106647;Karlsruher SC|Dusseldorf;Karlsruher SC;Dusseldorf;13:30;STEAM;2;2.15;2.37;-0.0928;0.85;0.0928;213;flat;1.0;;;;Steam move: odds dropped -9.3% | Sustained odds drop: 2.37 → 2.15 (-9.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 213 snapshots — robust data
2026-02-08T12:38:49.110460;Tampere Utd (Fin)|Haka (Fin);Tampere Utd (Fin);Haka (Fin);13:45;STEAM;2;1.59;1.76;-0.0966;0.85;0.0966;212;flat;1.0;;;;Steam move: odds dropped -9.7% | Sustained odds drop: 1.76 → 1.59 (-9.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 212 snapshots — robust data
2026-02-08T12:38:49.113181;Austria Vienna W|St. Polten W;Austria Vienna W;St. Polten W;14:00;STEAM;1;1.85;2.06;-0.1019;0.85;0.1019;174;flat;1.0;win;0.85;2026-02-08T12:38:50.039750;Steam move: odds dropped -10.2% | Sustained odds drop: 2.06 → 1.85 (-10.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 174 snapshots — robust data
2026-02-08T12:38:49.115577;BVSC-Zuglo|Csakvari;BVSC-Zuglo;Csakvari;14:00;STEAM;1;2.5;2.73;-0.0842;0.85;0.0842;172;flat;1.0;loss;-1.0;2026-02-08T12:38:50.045676;Steam move: odds dropped -8.4% | Sustained odds drop: 2.73 → 2.50 (-8.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 172 snapshots — robust data
2026-02-08T12:38:49.118057;Chaidari|AO Ilisiakos;Chaidari;AO Ilisiakos;14:00;STEAM;2;2.18;2.49;-0.1245;0.85;0.1245;208;flat;1.0;loss;-1.0;2026-02-08T12:38:50.047259;Steam move: odds dropped -12.4% | Sustained odds drop: 2.49 → 2.18 (-12.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 208 snapshots — robust data
2026-02-08T12:38:49.120113;Chelghoum|Telaghema;Chelghoum;Telaghema;14:00;STEAM;2;1.28;1.44;-0.1111;0.85;0.1111;170;flat;1.0;win;0.28;2026-02-08T12:38:50.050899;Steam move: odds dropped -11.1% | Sustained odds drop: 1.44 → 1.28 (-11.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 170 snapshots — robust data
2026-02-08T12:38:49.123558;GC Mascara|El Biar;GC Mascara;El Biar;14:00;STEAM;2;1.81;2.16;-0.162;0.85;0.162;172;flat;1.0;win;0.81;2026-02-08T12:38:50.052783;Steam move: odds dropped -16.2% | Sustained odds drop: 2.16 → 1.81 (-16.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 172 snapshots — robust data
2026-02-08T12:38:49.126885;Jippo|Klubi 04;Jippo;Klubi 04;14:00;STEAM;1;1.27;1.42;-0.1056;0.85;0.1056;172;flat;1.0;win;0.27;2026-02-08T12:38:50.054817;Steam move: odds dropped -10.6% | Sustained odds drop: 1.42 → 1.27 (-10.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 172 snapshots — robust data
2026-02-08T12:38:49.129398;MSP Batna|CA Batna;MSP Batna;CA Batna;14:00;STEAM;2;2.12;2.48;-0.1452;0.85;0.1452;174;flat;1.0;win;1.12;2026-02-08T12:38:50.055615;Steam move: odds dropped -14.5% | Sustained odds drop: 2.48 → 2.12 (-14.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 174 snapshots — robust data
2026-02-08T12:38:49.131785;Otoho d'Oyo (Con)|Stellenbosch (Rsa);Otoho d'Oyo (Con);Stellenbosch (Rsa);14:00;STEAM;1;1.63;2.48;-0.3427;0.85;0.3427;212;flat;1.0;;;;Steam move: odds dropped -34.3% | Sustained odds drop: 2.48 → 1.63 (-34.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 212 snapshots — robust data
2026-02-08T12:38:49.134530;Regensburg|Viktoria Koln;Regensburg;Viktoria Koln;14:00;STEAM;1;2.09;2.32;-0.0991;0.85;0.0991;172;flat;1.0;loss;-1.0;2026-02-08T12:38:50.096139;Steam move: odds dropped -9.9% | Sustained odds drop: 2.32 → 2.09 (-9.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 172 snapshots — robust data
2026-02-08T12:38:49.137933;US Chaouia|Magra;US Chaouia;Magra;14:00;STEAM;1;1.52;1.71;-0.1111;0.85;0.1111;170;flat;1.0;win;0.52;2026-02-08T12:38:50.150861;Steam move: odds dropped -11.1% | Sustained odds drop: 1.71 → 1.52 (-11.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 170 snapshots — robust data
2026-02-08T12:38:49.155605;Wiener Viktoria (Aut)|Dietach (Aut);Wiener Viktoria (Aut);Dietach (Aut);14:00;STEAM;2;2.5;3.08;-0.1883;0.85;0.1883;178;flat;1.0;win;1.5;2026-02-08T12:38:50.155762;Steam move: odds dropped -18.8% | Sustained odds drop: 3.08 → 2.50 (-18.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 178 snapshots — robust data
2026-02-08T12:38:49.157717;Dibba Al Fujairah|Bani Yas;Dibba Al Fujairah;Bani Yas;14:25;STEAM;2;1.9;2.09;-0.0909;0.85;0.0909;170;flat;1.0;loss;-1.0;2026-02-08T12:38:50.157604;Steam move: odds dropped -9.1% | Sustained odds drop: 2.09 → 1.90 (-9.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 170 snapshots — robust data
2026-02-08T12:38:49.159586;Bassano|San Luigi;Bassano;San Luigi;14:30;STEAM;1;1.69;2.01;-0.1592;0.85;0.1592;208;flat;1.0;;;;Steam move: odds dropped -15.9% | Sustained odds drop: 2.01 → 1.69 (-15.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 208 snapshots — robust data
2026-02-08T12:38:49.163931;Calvi Noale|Altavilla;Calvi Noale;Altavilla;14:30;STEAM;X;2.47;3.0;-0.1767;0.85;0.1767;208;flat;1.0;;;;Steam move: odds dropped -17.7% | Sustained odds drop: 3.00 → 2.47 (-17.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 208 snapshots — robust data
2026-02-08T12:38:49.182487;Giulianova|Sammaurese;Giulianova;Sammaurese;14:30;STEAM;1;1.5;1.64;-0.0854;0.85;0.0854;186;flat;1.0;;;;Steam move: odds dropped -8.5% | Sustained odds drop: 1.64 → 1.50 (-8.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 186 snapshots — robust data
2026-02-08T12:38:49.192048;Prato|Poggibonsi;Prato;Poggibonsi;14:30;STEAM;1;1.44;1.61;-0.1056;0.85;0.1056;203;flat;1.0;;;;Steam move: odds dropped -10.6% | Sustained odds drop: 1.61 → 1.44 (-10.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 203 snapshots — robust data
2026-02-08T12:38:49.199640;San Marino Academy W|Lumezzane W;San Marino Academy W;Lumezzane W;14:30;STEAM;2;1.45;1.72;-0.157;0.85;0.157;210;flat;1.0;;;;Steam move: odds dropped -15.7% | Sustained odds drop: 1.72 → 1.45 (-15.7%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 210 snapshots — robust data
2026-02-08T12:38:49.204449;Club Milano|Sestri Levante;Club Milano;Sestri Levante;15:00;STEAM;2;1.62;1.98;-0.1818;0.85;0.1818;177;flat;1.0;;;;Steam move: odds dropped -18.2% | Sustained odds drop: 1.98 → 1.62 (-18.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 177 snapshots — robust data
2026-02-08T12:38:49.212263;Portsmouth W|Ipswich W;Portsmouth W;Ipswich W;15:00;STEAM;1;2.3;2.6;-0.1154;0.85;0.1154;179;flat;1.0;;;;Steam move: odds dropped -11.5% | Sustained odds drop: 2.60 → 2.30 (-11.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 179 snapshots — robust data
2026-02-08T12:38:49.216459;Sarnese|Ferrandina;Sarnese;Ferrandina;15:00;STEAM;1;1.63;1.86;-0.1237;0.85;0.1237;177;flat;1.0;;;;Steam move: odds dropped -12.4% | Sustained odds drop: 1.86 → 1.63 (-12.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 177 snapshots — robust data
2026-02-08T12:38:49.220854;Stockay-Warfusee|Meux;Stockay-Warfusee;Meux;15:00;STEAM;2;2.41;2.69;-0.1041;0.85;0.1041;179;flat;1.0;;;;Steam move: odds dropped -10.4% | Sustained odds drop: 2.69 → 2.41 (-10.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 179 snapshots — robust data
2026-02-08T12:38:49.223297;Vigor Senigallia|Fossombrone;Vigor Senigallia;Fossombrone;15:00;STEAM;X;2.48;3.03;-0.1815;0.85;0.1815;177;flat;1.0;;;;Steam move: odds dropped -18.1% | Sustained odds drop: 3.03 → 2.48 (-18.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 177 snapshots — robust data
2026-02-08T12:38:49.230385;Strasbourg W|Marseille W;Strasbourg W;Marseille W;15:15;STEAM;1;2.05;2.23;-0.0807;0.85;0.0807;177;flat;1.0;;;;Steam move: odds dropped -8.1% | Sustained odds drop: 2.23 → 2.05 (-8.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 177 snapshots — robust data
2026-02-08T12:38:49.232493;Al Khaboora|Dhofar;Al Khaboora;Dhofar;15:30;STEAM;X;2.4;2.72;-0.1176;0.85;0.1176;174;flat;1.0;win;1.4;2026-02-08T12:38:50.186360;Steam move: odds dropped -11.8% | Sustained odds drop: 2.72 → 2.40 (-11.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 174 snapshots — robust data
2026-02-08T12:38:49.235044;Akranes|Thor Akureyri;Akranes;Thor Akureyri;16:00;STEAM;1;1.37;1.52;-0.0987;0.85;0.0987;104;flat;1.0;loss;-1.0;2026-02-08T12:38:50.188114;Steam move: odds dropped -9.9% | Sustained odds drop: 1.52 → 1.37 (-9.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 104 snapshots — robust data
2026-02-08T12:38:49.260277;Bo'ness United|Caledonian Braves;Bo'ness United;Caledonian Braves;16:00;STEAM;2;2.28;2.57;-0.1128;0.85;0.1128;113;flat;1.0;win;1.28;2026-02-08T12:38:50.192777;Steam move: odds dropped -11.3% | Sustained odds drop: 2.57 → 2.28 (-11.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 113 snapshots — robust data
2026-02-08T12:38:49.264416;Clachnacuddin|Buckie Thistle;Clachnacuddin;Buckie Thistle;16:00;STEAM;1;1.81;2.02;-0.104;0.85;0.104;113;flat;1.0;win;0.81;2026-02-08T12:38:50.194350;Steam move: odds dropped -10.4% | Sustained odds drop: 2.02 → 1.81 (-10.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 113 snapshots — robust data
